cpu(%),ram(bytes)
0.0,47947776
0.0,51310592
0.0,51372032
0.0,51372032
0.0,51372032
0.0,51372032
0.0,51404800
0.0,51404800
0.0,51404800
0.0,51404800
0.0,51408896
0.0,51408896
0.0,51351552
0.0,51351552
0.0,51351552
0.0,51359744
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51363840
0.0,51335168
0.0,51335168
0.0,48054272
0.0,51298304
0.0,51359744
0.0,51367936
0.0,51372032
0.0,51372032
0.0,51396608
0.0,51396608
0.0,51396608
0.0,51396608
0.0,51396608
0.0,51396608
0.0,49197056
0.0,49569792
0.0,49721344
0.0,49725440
0.0,49733632
0.0,49754112
0.0,49758208
0.0,49758208
0.0,49758208
0.0,49770496
0.0,49774592
0.0,49778688
0.0,49786880
0.0,48967680
0.0,49295360
0.0,49373184
0.0,49377280
0.0,49459200
0.0,49459200
0.0,49463296
0.0,49467392
0.0,49471488
0.0,49479680
0.0,49483776
0.0,49487872
0.0,49491968
0.0,49496064
0.0,49500160
0.0,49786880
0.0,49004544
0.0,49524736
0.0,49557504
0.0,49561600
0.0,49573888
0.0,49573888
0.0,49590272
0.0,49590272
0.0,49590272
0.0,49659904
0.0,49680384
0.0,49815552
0.0,49819648
0.0,49856512
0.0,49856512
0.0,49872896
0.0,49876992
0.0,49876992
0.0,49881088
0.0,49893376
0.0,49893376
0.0,48824320
0.0,49348608
0.0,49360896
0.0,49360896
0.0,49377280
0.0,49377280
0.0,49381376
0.0,49471488
0.0,49471488
0.0,49471488
0.0,49471488
0.0,49471488
0.0,49537024
0.0,49537024
0.0,49537024
0.0,49537024
0.0,49385472
0.0,49070080
0.0,49082368
